Date,Type,Check_case,AN,AP,AR,AS,BR,CH,CT,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,UP,UT,WB
30-03-2020,delta7,confirmed,10,16,0,0,12,6,7,67,0,5,40,0,8,0,45,55,139,0,0,131,0,1,41,1,0,1,18,0,47,0,44,55,0,62,3,15
30-03-2020,total,confirmed,10,23,0,0,15,13,8,97,0,5,70,3,36,0,49,88,234,13,0,220,0,1,47,1,0,3,41,1,79,0,77,67,0,96,7,22
31-03-2020,delta7,confirmed,10,36,0,1,18,8,8,90,0,5,38,0,13,1,49,60,132,0,0,195,0,0,59,1,0,2,13,0,61,0,58,106,0,69,3,28
31-03-2020,total,confirmed,10,44,0,1,21,15,9,120,0,5,74,3,43,1,55,101,241,13,0,302,0,1,66,1,0,4,42,1,93,0,97,124,0,104,7,37
01-04-2020,delta7,confirmed,10,101,0,16,20,10,6,117,0,2,49,0,12,1,51,59,147,0,0,213,0,0,83,0,0,3,15,2,82,0,86,208,0,79,2,28
01-04-2020,total,confirmed,10,111,0,16,24,17,9,152,0,5,87,3,43,1,62,110,265,13,0,335,0,1,98,1,0,5,46,3,120,0,127,234,0,117,7,37
02-04-2020,delta7,confirmed,9,138,1,16,22,11,3,254,0,2,44,3,17,2,56,69,149,0,0,298,0,1,87,0,0,2,14,4,90,0,109,280,0,86,5,43
02-04-2020,total,confirmed,10,149,1,16,29,18,9,293,0,5,88,6,49,2,70,124,286,13,0,423,0,2,107,1,0,5,47,5,133,0,154,309,0,128,10,53
03-04-2020,delta7,confirmed,4,151,1,23,22,10,3,346,0,3,48,3,25,2,55,64,119,1,0,334,0,1,125,0,0,17,15,4,129,0,170,373,0,125,11,38
03-04-2020,total,confirmed,10,164,1,23,31,18,9,386,0,6,95,6,58,2,75,128,295,14,0,487,0,2,154,1,0,20,53,5,179,0,229,411,0,174,16,53
04-04-2020,delta7,confirmed,1,173,1,26,21,10,3,396,0,4,53,10,49,2,59,68,124,1,0,454,0,1,140,0,0,18,27,4,152,0,205,443,0,169,16,35
04-04-2020,total,confirmed,10,192,1,26,32,18,10,445,0,7,108,13,84,2,92,144,306,14,0,635,0,2,179,1,0,21,65,5,206,0,272,485,0,234,22,53
05-04-2020,delta7,confirmed,1,235,1,26,17,10,3,431,0,2,65,11,55,3,68,68,112,1,0,544,0,1,154,0,0,36,30,4,207,0,264,521,0,206,19,59
05-04-2020,total,confirmed,10,256,1,26,32,18,10,503,0,7,128,14,90,3,106,151,314,14,0,747,0,2,193,1,0,39,68,5,266,0,334,571,0,278,26,80
06-04-2020,total,confirmed,10,303,1,26,32,18,10,525,0,7,146,18,110,4,109,163,327,14,0,868,0,2,256,1,0,40,79,5,301,0,364,621,1,305,31,80
07-04-2020,total,confirmed,10,314,1,28,38,18,10,576,0,7,175,27,143,4,125,175,336,14,0,1018,0,2,290,1,0,42,99,5,343,0,404,690,1,332,31,91
08-04-2020,delta,confirmed,1,34,0,0,1,0,0,93,0,0,11,0,24,0,33,6,9,0,0,117,0,0,51,0,0,0,7,0,40,0,49,48,0,29,4,8
08-04-2020,delta7,confirmed,1,237,1,12,15,1,1,517,0,2,99,24,124,3,96,71,80,1,0,800,0,1,243,0,0,37,60,2,263,0,326,504,1,244,28,62
08-04-2020,total,confirmed,11,348,1,28,39,18,10,669,0,7,186,27,167,4,158,181,345,14,0,1135,0,2,341,1,0,42,106,5,383,0,453,738,1,361,35,99
09-04-2020,delta,recovered,10,4,0,0,0,0,0,4,0,0,1,0,0,0,0,2,13,0,0,8,0,0,0,0,0,0,4,0,15,0,0,6,0,0,0,3
09-04-2020,delta7,confirmed,1,214,0,13,29,0,9,427,0,2,174,22,121,11,114,73,71,1,0,941,0,0,304,0,0,43,83,0,330,0,317,525,1,282,25,50
09-04-2020,delta7,recovered,10,8,0,0,12,7,6,17,0,0,16,1,5,0,3,19,69,7,0,83,0,1,25,0,0,1,17,1,57,0,28,21,0,14,3,13
09-04-2020,total,confirmed,11,363,1,29,58,18,18,720,0,7,262,28,170,13,184,197,357,14,0,1364,0,2,411,1,0,48,130,5,463,0,471,834,1,410,35,103
09-04-2020,total,recovered,10,10,0,0,15,7,9,25,0,0,26,2,32,0,6,30,97,10,0,125,0,1,25,0,0,2,18,1,60,0,45,27,0,31,5,16
10-04-2020,delta7,confirmed,1,217,0,6,29,1,9,517,0,1,283,22,118,12,132,79,69,1,0,1087,0,0,297,0,0,30,98,2,382,0,258,500,2,259,19,63
10-04-2020,delta7,recovered,10,8,0,0,12,7,6,19,0,1,23,1,8,0,3,23,82,8,0,138,0,1,37,0,0,10,19,1,57,0,13,38,0,15,3,13
10-04-2020,total,confirmed,11,381,1,29,60,19,18,903,0,7,378,28,176,14,207,207,364,15,0,1574,0,2,451,1,0,50,151,7,561,0,487,911,2,433,35,116
10-04-2020,total,recovered,10,10,0,0,15,7,9,27,0,1,33,2,36,0,6,34,124,11,0,188,0,1,37,0,0,12,20,1,60,0,45,44,0,32,5,16
11-04-2020,delta7,confirmed,1,213,0,3,32,1,15,624,0,0,360,19,95,15,132,71,68,1,0,1126,0,0,350,0,0,33,93,2,494,0,231,484,2,218,13,73
11-04-2020,delta7,recovered,10,8,0,0,12,4,6,11,0,5,31,7,7,0,3,28,93,8,0,156,0,1,38,0,0,10,17,1,91,0,63,36,0,24,3,13
11-04-2020,total,confirmed,11,405,1,29,64,19,25,1069,0,7,468,32,179,17,224,215,374,15,0,1761,0,2,529,1,0,54,158,7,700,0,503,969,2,452,35,126
11-04-2020,total,recovered,10,10,0,0,15,7,9,27,0,5,44,8,36,0,6,39,143,11,0,208,0,1,38,0,0,12,20,1,116,0,96,44,0,45,5,16
12-04-2020,delta7,confirmed,1,164,0,4,32,3,21,651,0,0,388,18,105,16,139,81,62,1,0,1235,0,0,369,0,0,15,102,2,538,0,197,504,2,205,9,54
12-04-2020,delta7,recovered,10,7,0,0,23,2,2,12,0,5,23,11,15,0,2,42,123,8,0,161,0,1,38,0,0,10,19,1,96,0,70,42,0,24,1,9
12-04-2020,total,confirmed,11,420,1,30,64,21,31,1154,0,7,516,32,195,19,245,232,376,15,0,1982,0,2,562,1,0,54,170,7,804,0,531,1075,2,483,35,134
12-04-2020,total,recovered,10,12,0,0,26,7,10,28,0,5,44,12,44,0,6,54,179,11,0,217,0,1,41,0,0,12,23,1,121,0,103,50,0,45,5,19
13-04-2020,delta7,confirmed,1,136,0,6,34,3,21,985,0,0,426,14,86,20,161,84,52,3,0,1466,1,0,358,0,0,15,97,2,596,0,228,552,1,253,4,72
13-04-2020,delta7,recovered,10,7,0,0,19,2,2,15,0,5,32,11,22,0,12,40,139,2,0,159,0,0,40,0,0,16,21,1,96,0,58,45,0,28,3,19
13-04-2020,total,confirmed,11,439,1,32,66,21,31,1510,0,7,572,32,196,24,270,247,379,17,0,2334,1,2,614,1,0,55,176,7,897,0,592,1173,2,558,35,152
13-04-2020,total,recovered,10,12,0,0,28,7,10,31,0,5,54,12,51,0,16,60,198,12,0,229,0,1,51,0,0,18,25,1,121,0,103,58,0,49,7,29
14-04-2020,delta7,confirmed,1,170,0,5,28,3,23,985,0,0,475,6,55,23,153,85,51,3,0,1662,1,0,451,0,0,18,85,2,662,0,240,514,1,328,6,99
14-04-2020,delta7,recovered,10,11,0,0,14,0,4,11,0,5,34,11,24,0,26,46,140,2,0,180,0,0,43,0,0,16,13,0,122,0,65,62,0,29,5,23
14-04-2020,total,confirmed,11,484,1,33,66,21,33,1561,0,7,650,33,198,27,278,260,387,17,0,2680,1,2,741,1,0,60,184,7,1005,0,644,1204,2,660,37,190
14-04-2020,total,recovered,10,16,0,0,29,7,13,31,0,5,59,13,55,0,30,71,211,12,0,259,0,1,64,0,0,18,27,1,147,0,110,81,0,50,9,36
15-04-2020,delta7,recovered,10,14,1,2,14,2,8,20,0,6,39,11,25,0,30,52,134,2,0,178,0,0,39,0,0,17,13,0,102,0,73,97,1,26,4,24
15-04-2020,total,confirmed,11,525,1,33,72,21,33,1578,0,7,766,35,204,28,300,279,388,18,0,2916,7,2,938,1,0,60,186,7,1076,0,650,1242,2,735,37,213
15-04-2020,total,recovered,10,20,1,2,29,9,17,41,0,6,64,13,57,0,36,80,218,12,0,295,0,1,64,0,0,19,27,1,147,0,118,118,1,57,9,37
16-04-2020,delta,recovered,1,0,0,3,8,0,6,11,0,0,9,3,8,0,2,2,27,2,0,5,0,0,6,0,0,0,2,0,17,0,68,62,0,11,0,5
16-04-2020,delta7,recovered,1,10,1,5,22,2,14,27,0,6,47,14,33,0,32,52,148,4,0,175,0,0,45,0,0,17,11,0,104,0,141,153,1,37,4,26
16-04-2020,total,confirmed,11,534,1,35,83,21,36,1640,0,7,929,35,215,29,314,315,395,18,0,3201,9,2,1164,1,0,60,197,7,1131,0,700,1267,2,805,37,231
16-04-2020,total,recovered,11,20,1,5,37,9,23,52,0,6,73,16,65,0,38,82,245,14,0,300,0,1,70,0,0,19,29,1,164,0,186,180,1,68,9,42
17-04-2020,delta,confirmed,1,38,0,0,2,0,0,67,0,0,170,3,8,3,14,44,1,0,0,120,0,0,146,0,0,0,14,0,98,0,66,56,0,44,3,24
17-04-2020,delta,tested,1403,0,83,128,640,21,257,2625,0,62,2580,388,820,809,758,3870,629,0,0,4796,65,35,1810,0,90,843,464,0,2069,0,0,3668,0,3259,238,401
17-04-2020,delta7,confirmed,1,191,0,6,25,2,18,804,0,0,721,10,47,18,121,152,32,3,0,1747,9,0,859,0,0,10,60,0,668,0,279,412,0,416,5,139
17-04-2020,delta7,recovered,1,25,1,9,22,2,15,45,0,5,53,14,50,0,36,54,131,3,0,143,0,0,33,0,0,9,10,0,123,0,141,239,1,50,4,35
17-04-2020,delta7,tested,1403,13861,363,1373,4029,135,2303,10348,252,319,15765,1092,5357,1803,3477,9619,4690,917,0,25678,617,311,8253,10,204,4030,2527,0,20498,0,0,21263,762,15311,1143,2117
17-04-2020,total,confirmed,12,572,1,35,85,21,36,1707,0,7,1099,38,223,32,328,359,396,18,0,3321,9,2,1310,1,0,60,211,7,1229,0,766,1323,2,849,40,255
17-04-2020,total,recovered,11,35,1,9,37,9,24,72,0,6,86,16,86,0,42,88,255,14,0,331,0,1,70,0,0,21,30,1,183,0,186,283,1,82,9,51
17-04-2020,total,tested,1403,20235,363,4236,9486,358,5776,21409,382,673,23483,1992,8884,3143,6438,17594,18029,917,0,55678,617,311,15302,94,274,7577,5988,0,42847,0,0,29673,762,24643,2831,4212
18-04-2020,delta,confirmed,2,31,0,0,1,2,0,186,0,0,277,1,9,1,13,25,4,0,0,327,2,0,92,0,0,1,23,0,122,0,43,49,0,126,2,32
18-04-2020,delta7,confirmed,3,198,0,6,22,4,11,824,0,0,908,7,53,16,117,169,26,3,0,1887,11,0,873,0,0,7,76,0,651,0,306,403,0,523,7,161
18-04-2020,delta7,recovered,1,32,1,12,27,2,16,180,0,1,49,8,64,0,45,65,114,3,0,157,0,0,89,0,0,12,11,3,84,0,90,321,1,63,4,39
18-04-2020,delta7,tested,1403,14492,389,1389,3880,117,1918,10574,171,404,16339,1307,6791,1885,3731,10626,4611,917,0,28325,738,311,6462,18,322,5068,2258,1207,22340,0,0,25194,425,17889,1453,2344
18-04-2020,total,confirmed,14,603,1,35,86,23,36,1893,0,7,1376,39,232,33,341,384,400,18,0,3648,11,2,1402,1,0,61,234,7,1351,0,809,1372,2,975,42,287
18-04-2020,total,recovered,11,42,1,12,42,9,25,207,0,6,93,16,100,0,51,104,257,14,0,365,0,1,127,0,0,24,31,4,200,0,186,365,1,108,9,55
18-04-2020,total,tested,1403,21450,389,4400,10130,381,5776,22283,382,758,26102,2207,10454,3431,6937,19186,18774,917,0,60166,738,311,14978,102,392,8619,6167,1207,47197,0,0,35036,762,28484,3158,4630
19-04-2020,delta,confirmed,1,44,0,0,10,3,0,110,0,0,367,0,18,8,13,6,2,0,0,552,0,0,5,0,0,0,10,0,127,0,49,105,0,125,2,23
19-04-2020,delta7,confirmed,4,227,0,5,32,5,5,849,0,0,1227,7,55,22,109,158,26,3,0,2218,11,0,845,0,0,7,74,0,674,0,327,402,0,617,9,176
19-04-2020,delta7,recovered,1,53,1,17,16,6,15,262,0,2,61,4,60,0,50,57,91,3,0,290,0,0,90,0,0,12,14,3,84,0,83,361,1,82,6,43
19-04-2020,delta7,tested,1403,20000,389,1727,4042,151,2730,10351,171,420,17389,1440,8784,1963,4295,12116,4362,991,0,31128,766,311,7354,29,330,5828,2326,1245,23109,0,14962,30221,425,19912,1524,2522
19-04-2020,total,confirmed,15,647,1,35,96,26,36,2003,0,7,1743,39,250,41,354,390,402,18,0,4200,11,2,1407,1,0,61,244,7,1478,0,858,1477,2,1100,44,310
19-04-2020,total,recovered,11,65,1,17,42,13,25,290,0,7,105,16,104,0,56,111,270,14,0,507,0,1,131,0,0,24,37,4,205,0,186,411,1,127,11,62
19-04-2020,total,tested,1403,26958,389,4865,10745,430,6675,24387,382,826,29104,2553,12687,3646,7895,21367,19351,991,0,66796,766,311,17835,116,404,9690,6607,1245,51614,0,14962,40876,762,31767,3344,5045
20-04-2020,delta,confirmed,1,75,0,0,17,0,0,78,0,0,196,0,1,5,14,18,6,0,0,466,0,0,78,0,0,13,1,0,98,0,14,43,0,84,2,29
20-04-2020,delta7,confirmed,5,283,0,3,47,5,5,571,0,0,1367,7,55,22,98,161,29,1,0,2332,10,0,871,0,0,19,69,0,679,0,280,347,0,626,11,187
20-04-2020,delta7,recovered,1,80,1,19,14,7,15,400,0,2,77,4,90,4,55,52,93,2,0,343,0,1,87,0,0,6,13,3,84,0,83,399,1,91,11,37
20-04-2020,delta7,tested,1403,21978,233,1974,4056,157,3224,10868,171,461,19065,1682,9405,2253,4547,13443,4073,373,0,31596,838,311,8661,43,360,6471,2317,1272,25486,0,14962,34239,425,21039,1679,2676
20-04-2020,total,confirmed,16,722,1,35,113,26,36,2081,0,7,1939,39,251,46,368,408,408,18,0,4666,11,2,1485,1,0,74,245,7,1576,0,872,1520,2,1184,46,339
20-04-2020,total,recovered,11,92,1,19,42,14,25,431,0,7,131,16,141,4,71,112,291,14,0,572,0,2,138,0,0,24,38,4,205,0,186,457,1,140,18,66
20-04-2020,total,tested,1403,30733,439,5112,11319,453,7601,25900,382,901,33316,2892,13894,4235,8612,23460,19756,991,0,71321,838,311,19142,132,434,10641,6797,1272,57290,0,14962,46985,762,34326,3677,5469
21-04-2020,delta,confirmed,1,35,0,0,13,1,0,75,0,0,239,0,4,0,12,10,19,0,0,552,1,0,67,0,0,5,6,0,159,0,56,76,0,153,0,53
21-04-2020,delta7,confirmed,6,273,0,2,60,6,3,595,0,0,1528,6,57,19,102,158,40,1,0,2538,11,0,811,0,0,19,67,0,730,0,284,392,0,677,9,202
21-04-2020,delta7,recovered,1,80,1,19,13,7,12,580,0,2,80,3,92,4,51,58,96,2,0,463,0,1,84,0,0,12,22,3,127,0,84,554,1,112,10,37
21-04-2020,delta7,tested,1403,25250,174,2023,4272,188,3460,10345,263,525,21849,2030,9352,1901,4601,15126,4017,377,0,34767,933,35,12800,44,363,7014,2511,1319,26564,0,14962,33790,2267,22019,1887,3101
21-04-2020,total,confirmed,17,757,1,35,126,27,36,2156,0,7,2178,39,255,46,380,418,427,18,0,5218,12,2,1552,1,0,79,251,7,1735,0,928,1596,2,1337,46,392
21-04-2020,total,recovered,11,96,1,19,42,14,25,611,0,7,139,16,147,4,81,129,307,14,0,722,0,2,148,0,0,30,49,4,274,0,194,635,1,162,19,73
21-04-2020,total,tested,1403,35755,454,5514,11999,497,8272,26627,474,1004,36829,3341,14562,4235,9220,26233,20252,1137,0,75838,933,311,20905,135,537,11748,7355,1319,61492,0,14962,53045,2604,37933,4061,6182
22-04-2020,delta,confirmed,1,56,0,0,17,0,0,92,0,0,229,0,9,0,27,9,11,0,0,431,0,0,35,0,0,4,27,0,153,0,15,33,0,112,0,31
22-04-2020,delta7,confirmed,7,288,0,2,71,6,3,670,0,0,1641,4,60,18,107,148,50,0,0,2733,5,0,649,0,0,23,92,0,812,0,293,387,0,714,9,210
22-04-2020,delta7,recovered,1,100,0,17,13,5,11,683,0,1,115,3,101,4,56,51,90,2,0,494,0,1,88,0,0,13,26,3,197,0,76,544,0,116,14,36
22-04-2020,delta7,tested,1403,29899,216,1901,4715,212,4098,11704,318,560,20224,2274,8173,2842,4868,17029,4346,317,0,37162,1046,35,13068,41,359,8238,2694,1473,28397,0,14962,37029,2477,22686,1862,3567
22-04-2020,total,confirmed,18,813,1,35,143,27,36,2248,0,7,2407,39,264,46,407,427,438,18,0,5649,12,2,1587,1,0,83,278,7,1888,0,943,1629,2,1449,46,423
22-04-2020,total,recovered,11,120,1,19,42,14,28,724,0,7,179,16,158,4,92,131,308,14,0,789,0,2,152,0,0,32,53,4,344,0,194,662,1,173,23,73
22-04-2020,total,tested,1403,41512,496,5514,12978,529,9220,28309,674,1116,39421,3700,15561,5176,10039,29512,20821,1137,0,82304,1046,311,22664,135,543,13775,7887,1473,66257,0,14962,59023,3215,42192,4275,7037
23-04-2020,delta,confirmed,4,80,0,1,27,0,0,128,0,0,217,1,6,7,27,18,10,0,0,778,0,0,100,0,0,6,5,0,76,0,27,54,0,61,1,33
23-04-2020,delta7,confirmed,11,359,0,1,87,6,0,736,0,0,1695,5,55,24,120,130,53,0,0,3226,3,0,523,0,0,29,86,0,833,0,270,416,0,705,10,225
23-04-2020,delta7,tested,1403,27797,216,1406,4939,262,4827,11776,531,595,21481,2416,9518,3046,5297,18398,3934,220,0,38315,557,35,11056,43,423,9250,3233,1548,28986,0,14962,39972,2453,24099,1880,4179
23-04-2020,total,confirmed,22,893,1,36,170,27,36,2376,0,7,2624,40,270,53,434,445,448,18,0,6427,12,2,1687,1,0,89,283,7,1964,0,970,1683,2,1510,47,456
23-04-2020,total,recovered,11,141,1,19,44,14,30,808,0,7,258,18,170,8,92,145,316,16,0,840,0,2,203,0,0,33,66,4,451,0,252,752,2,206,24,79
23-04-2020,total,tested,1403,48032,496,5514,13785,599,10346,30560,913,1206,42384,4020,17582,5380,10977,32122,21334,1137,0,89197,1109,311,24548,137,607,15984,8757,1548,69764,0,14962,65977,3215,45483,4473,7990
24-04-2020,delta,confirmed,7,62,0,0,53,0,0,138,0,0,191,0,5,6,20,29,3,0,0,390,0,0,159,0,0,5,15,0,70,0,13,72,0,111,1,58
24-04-2020,delta,tested,1276,6306,30,1166,1139,39,1040,3112,0,0,4359,308,1263,782,787,3836,606,0,0,6013,21,91,1685,0,0,2474,1854,156,4720,0,0,6426,0,7683,294,943
24-04-2020,delta7,confirmed,17,383,0,1,138,6,0,807,0,0,1716,2,52,27,126,115,55,0,0,3496,3,0,536,0,0,34,87,0,805,0,217,432,0,772,8,259
24-04-2020,delta7,tested,1276,34103,163,2444,5438,280,5610,12263,531,533,23260,2336,9961,3019,5326,18364,3911,220,0,39532,513,91,10931,43,333,10881,4623,1704,31637,0,14962,42730,2453,28523,1936,4721
24-04-2020,total,confirmed,29,955,1,36,223,27,36,2514,0,7,2815,40,275,59,454,474,451,18,0,6817,12,2,1846,1,0,94,298,7,2034,0,983,1755,2,1621,48,514
24-04-2020,total,recovered,11,145,1,19,44,15,30,857,0,7,265,18,186,8,109,152,331,16,0,957,0,2,210,0,0,33,70,4,493,0,291,866,2,226,25,103
24-04-2020,total,tested,2679,54338,526,6680,14924,638,11386,33672,913,1206,46743,4328,18845,6162,11764,35958,21940,1137,0,95210,1130,402,26233,137,607,18458,10611,1704,74484,0,14962,72403,3215,53166,4767,8933
25-04-2020,delta,confirmed,4,61,0,0,28,1,1,111,0,0,256,0,12,8,40,26,7,2,0,811,0,0,99,0,0,6,10,1,49,0,7,66,0,172,0,57
25-04-2020,delta7,confirmed,19,413,0,1,165,5,1,732,0,0,1695,1,55,34,153,116,58,2,0,3980,1,0,543,0,0,39,74,1,732,0,181,449,0,818,6,284
25-04-2020,delta7,tested,1276,39816,137,2759,5755,353,6820,13236,1004,448,22213,2416,9816,3539,5898,19897,3586,220,0,40746,431,105,12888,35,221,11980,7103,657,31796,0,14962,45074,2453,28367,2036,5250
25-04-2020,total,confirmed,33,1016,1,36,251,28,37,2625,0,7,3071,40,287,67,494,500,458,20,0,7628,12,2,1945,1,0,100,308,8,2083,0,990,1821,2,1793,48,571
25-04-2020,total,recovered,11,171,1,19,45,15,32,869,0,7,282,22,191,8,112,158,338,16,0,1076,0,2,281,0,0,34,72,4,513,0,307,960,2,261,26,103
25-04-2020,total,tested,2679,61266,526,7159,15885,734,12596,35519,1386,1206,48315,4623,20270,6970,12835,39083,22360,1137,0,100912,1169,416,27866,137,613,20599,13270,1864,78993,0,14962,80110,3215,56851,5194,9880
26-04-2020,delta7,confirmed,18,450,0,1,181,10,1,915,0,0,1558,1,46,41,169,113,67,2,0,3868,1,0,683,0,0,42,78,1,707,0,143,408,0,773,7,301
26-04-2020,delta7,tested,1276,41076,179,2958,6296,326,7111,13226,1519,380,21987,2348,8780,4160,6064,21597,3603,146,0,41183,403,105,7397,30,209,13126,7710,732,31328,0,0,46729,2453,30032,1933,5848
26-04-2020,total,confirmed,33,1097,1,36,277,36,37,2918,0,7,3301,40,296,82,523,503,469,20,0,8068,12,2,2090,1,0,103,322,8,2185,0,1001,1885,2,1873,51,611
26-04-2020,total,recovered,11,231,1,27,56,17,32,877,0,7,313,22,199,13,137,182,342,16,0,1188,0,2,302,0,0,35,84,4,629,0,316,1020,2,327,26,105
26-04-2020,total,tested,2679,68034,568,7823,17041,756,13786,37613,1901,1206,51091,4901,21467,7806,13959,42964,22954,1137,0,107979,1169,416,25232,146,613,22816,14317,1977,82942,0,14962,87605,3215,61799,5277,10893
27-04-2020,delta,tested,169,6517,16,294,1138,87,1201,2298,478,335,2484,205,1526,951,1029,2721,1192,0,0,7168,85,0,1777,0,16,2287,1199,37,4835,0,0,7176,0,5346,186,1150
27-04-2020,delta7,confirmed,17,455,0,1,233,19,1,1027,0,0,1609,1,50,57,178,104,74,2,0,3924,1,0,680,0,0,44,85,1,686,0,131,417,0,802,5,310
27-04-2020,delta7,tested,1445,43818,145,3005,6860,390,7386,14011,1997,640,20259,2214,9099,4522,6376,22225,4390,146,0,43826,416,105,7867,14,195,14462,8719,742,30487,0,0,47796,2453,32819,1786,6574
27-04-2020,total,confirmed,33,1177,1,36,346,45,37,3108,0,7,3548,40,301,103,546,512,482,20,0,8590,12,2,2165,1,0,118,330,8,2262,0,1003,1937,2,1986,51,649
27-04-2020,total,recovered,11,235,1,27,56,17,32,877,0,7,394,25,213,17,164,193,355,16,0,1282,0,2,357,0,0,37,98,5,744,0,332,1074,2,399,26,105
27-04-2020,total,tested,2848,74551,584,8117,18179,843,14987,39911,2379,1541,53575,5106,22993,8757,14988,45685,24146,1137,0,115147,1254,416,27009,146,629,25103,15516,2014,87777,0,14962,94781,3215,67145,5463,12043
28-04-2020,delta,recovered,4,23,0,0,8,0,2,201,0,0,40,0,11,2,12,14,4,0,0,106,0,0,16,0,0,1,3,0,26,0,42,54,0,63,0,4
28-04-2020,delta7,confirmed,16,502,0,3,240,29,2,1158,0,0,1596,1,53,59,185,105,59,4,0,4100,0,0,835,0,0,39,91,1,629,0,81,462,0,716,8,305
28-04-2020,delta7,recovered,4,162,0,8,22,3,9,467,0,0,295,9,77,15,95,78,52,2,0,666,0,0,225,0,0,8,52,1,496,0,180,493,1,300,7,36
28-04-2020,delta7,tested,1445,44579,156,2603,7791,427,7465,16743,1905,772,19272,2050,10264,5173,7399,24279,4603,0,0,44782,449,105,10155,23,102,14939,9666,837,31014,0,4101,48829,611,32374,1678,7041
28-04-2020,total,confirmed,33,1259,1,38,366,56,38,3314,0,7,3774,40,308,105,565,523,486,22,0,9318,12,2,2387,1,0,118,342,8,2364,0,1009,2058,2,2053,54,697
28-04-2020,total,recovered,15,258,1,27,64,17,34,1078,0,7,434,25,224,19,176,207,359,16,0,1388,0,2,373,0,0,38,101,5,770,0,374,1128,2,462,26,109
28-04-2020,total,tested,2848,80334,610,8117,19790,924,15737,43370,2379,1776,56101,5391,24826,9408,16619,50512,24855,1137,0,120620,1382,416,31060,158,639,26687,17021,2156,92506,0,19063,101874,3215,70307,5739,13223
29-04-2020,delta7,confirmed,15,519,0,3,260,41,2,1191,0,0,1675,1,47,61,174,108,58,4,0,4266,0,0,973,0,0,42,97,1,552,0,73,533,0,685,9,302
29-04-2020,delta7,recovered,4,167,0,10,22,3,6,368,0,0,348,9,67,15,100,85,61,3,0,804,0,0,309,0,0,7,48,1,470,0,215,548,1,337,5,46
29-04-2020,delta7,tested,1445,46549,166,4006,8202,483,7326,18916,2247,755,20067,2072,10587,5092,8411,25892,5006,812,0,46422,351,105,11173,44,101,15333,10783,755,31533,0,4316,50938,0,31524,1771,7583
29-04-2020,total,confirmed,33,1332,1,38,403,68,38,3439,0,7,4082,40,311,107,581,535,496,22,0,9915,12,2,2560,1,0,125,375,8,2440,0,1016,2162,2,2134,55,725
29-04-2020,total,recovered,15,287,1,29,64,17,34,1092,0,7,527,25,225,19,192,216,369,17,0,1593,0,2,461,0,0,39,101,5,814,0,409,1210,2,510,28,119
29-04-2020,total,tested,2848,88061,662,9520,21180,1012,16546,47225,2921,1871,59488,5772,26148,10268,18450,55404,25827,1949,0,128726,1397,416,33837,179,644,29108,18670,2228,97790,0,19278,109961,3215,73716,6046,14620
